title,year,lenght,sinopsis,description,Country_Id,Director_Id
Documentation,1834,4:21 AM,Vectorworks,strategize customized content,52010,34030
WSDL,1557,1:24 AM,X-ray,grow proactive metrics,91074,94750
Ember.js,1556,4:40 AM,Awesomeness,disintermediate cross-media platforms,30377,73553
GPS Tracking,1665,2:08 AM,Brand Management,enhance global partnerships,58061,43432
VMI,1712,4:31 AM,Quest vWorkspace,syndicate global infrastructures,95517,12011
Strategic Human Resources Leadership,1597,3:54 AM,Charitable Giving,unleash 24/365 bandwidth,65915,9709
RS/6000,1737,1:16 AM,Hydraulics,envisioneer revolutionary e-commerce,54787,73071
Website Development,1532,3:02 AM,PGW,generate out-of-the-box functionalities,48558,75771
MLRO,1922,3:06 AM,AMSI,deliver dot-com convergence,87046,59725
Umbrellas,1709,1:07 AM,Capital IQ,facilitate world-class content,74898,64631
Patient Education,1675,2:03 AM,DDI,drive leading-edge users,6445,47375
Participant Observation,1594,2:38 AM,PMCS,syndicate open-source markets,40413,36327
Lyra,1853,2:45 AM,BMC Portal,redefine enterprise deliverables,51285,71188
Rooms Division,1881,1:24 AM,PV Design,visualize bricks-and-clicks architectures,84674,61949
MC2,1759,3:57 AM,Abstraction,engineer end-to-end networks,47790,67200
RBI,1836,1:48 AM,History,implement rich vortals,81748,87045
Flight Test,1709,4:10 AM,Satellite TV,redefine one-to-one metrics,80851,81627
Sports Marketing,1661,3:24 AM,Venipuncture,engage viral solutions,19556,57784
IRIS,1958,3:19 AM,General Surgery,evolve enterprise niches,2169,70144
EHR,2001,3:52 AM,FTTx,unleash innovative e-commerce,24334,30791
Snort,1933,2:25 AM,LSF,synergize world-class synergies,76851,58442
GMPLS,2011,1:16 AM,Cardiology,extend bricks-and-clicks action-items,58864,43719
Sun Certified Java Programmer,1545,3:14 AM,Kontakt,engage visionary paradigms,27262,29113
MDT,1968,1:36 AM,Liability,utilize open-source web services,93110,53836
Ninja Skills,1704,2:50 AM,PDS,target collaborative users,30446,77783
EOS,1740,1:04 AM,Phase II,iterate leading-edge architectures,37160,74092
Business Strategy,1860,4:32 AM,Alcohol Awareness,exploit ubiquitous applications,43805,72879
Entrepreneurship,1907,4:03 AM,Compliance Oversight,scale ubiquitous experiences,92501,93757
Utility Systems,1518,1:56 AM,SNF,iterate B2B content,37359,27801
WSIB Claims Management,1798,2:18 AM,DV Camera Operator,unleash dot-com schemas,33949,552
KPI Dashboards,1642,1:44 AM,GHS,empower bricks-and-clicks channels,6559,37362
WS,1708,4:58 AM,CTP,integrate sexy functionalities,81172,67741
Objection Handling,1547,3:53 AM,GMI,generate 24/7 e-markets,13637,83309
BTS,1676,2:36 AM,SQL,recontextualize integrated partnerships,73657,6789
DDR,1799,2:53 AM,Animation,mesh killer communities,89177,32551
MKS,1891,3:02 AM,Start-up Consulting,extend distributed e-commerce,21535,55108
Zainet,1945,1:06 AM,IDX,evolve virtual e-commerce,39982,53059
FTSE 100,1980,2:01 AM,Numerical Simulation,iterate dynamic e-tailers,44628,11581
Cinematography,1902,1:45 AM,Oversight,envisioneer end-to-end deliverables,5022,95709
Kurzweil,1635,2:55 AM,Media Relations,aggregate open-source e-commerce,4147,91893
Interior Design,1845,2:51 AM,Long Distance Running,incubate collaborative e-markets,3105,75290
Web Services,1986,2:43 AM,Non-profit Board Development,strategize mission-critical action-items,64983,63152
Electricians,1806,2:44 AM,HAZOP Study,synergize out-of-the-box synergies,70853,48294
Ubuntu,1636,2:17 AM,Zoo,redefine holistic web-readiness,24223,78039
Web 2.0,1611,4:03 AM,XPath,orchestrate web-enabled vortals,82477,39959
QAD,1882,3:35 AM,Kettlebells,redefine bleeding-edge interfaces,81023,88786
MS VC++,1552,1:53 AM,Shell Scripting,strategize revolutionary infrastructures,88104,79056
JCA,1864,1:13 AM,Satellite TV,embrace bricks-and-clicks users,21831,36489
IxLoad,1923,4:05 AM,Aerospace Manufacturing,innovate revolutionary experiences,36191,57903
Screenwriting,1972,4:43 AM,IBM iSeries,orchestrate killer partnerships,75839,23584
Flash,1885,2:07 AM,TSM Administration,facilitate visionary synergies,13026,90340
Litigation Support,1942,4:04 AM,KPI Dashboards,whiteboard scalable applications,54853,97760
CPM Scheduling,1974,4:28 AM,Life Sciences,enable strategic vortals,76985,7896
PFTrack,1596,3:16 AM,Classical,mesh front-end methodologies,45979,71368
Real Estate,1742,1:28 AM,LDPE,monetize end-to-end portals,71580,68507
GxP,1702,1:49 AM,Small Business Marketing,benchmark extensible content,26128,67004
RSL,1612,3:58 AM,RPL,utilize B2C ROI,92659,82785
BSC,1903,2:35 AM,Sleepwear,engineer dot-com e-commerce,43606,53797
Yields,1964,3:07 AM,Personal Injury,scale global e-commerce,52697,90428
TV Distribution,1597,1:27 AM,CWSP,matrix extensible infomediaries,92191,59666
Private Duty,1843,2:38 AM,MGCP,iterate robust methodologies,81409,71217
Front Office,1794,2:27 AM,HP Service Manager,unleash visionary channels,70511,76693
iWeb,1603,2:03 AM,Military Affairs,scale innovative mindshare,43893,68035
D3.js,1999,2:25 AM,Environmental Issues,matrix global web services,31200,78278
Amazon VPC,1927,3:01 AM,Digital IC Design,deliver seamless architectures,41664,15940
Call Centers,1844,3:51 AM,Electricians,transition world-class functionalities,37450,32236
Testing Types,1668,2:27 AM,ePub,seize clicks-and-mortar eyeballs,71317,11202
TWiki,1543,3:03 AM,Dyeing,redefine wireless platforms,80388,45619
TSM Administration,1910,1:13 AM,GMLAN,matrix visionary portals,42025,37189
VSE,1903,4:36 AM,QAM,exploit enterprise relationships,42264,39588
Agilent ADS,1626,2:50 AM,Pediatrics,implement out-of-the-box web-readiness,39522,59544
EMS,1689,4:19 AM,Police,utilize real-time metrics,78817,3168
Staff Development,1552,4:31 AM,Pharmaceutical Sales,leverage customized ROI,18295,43160
Small Business Online Marketing,1713,1:49 AM,EEPROM,reintermediate proactive e-services,1571,30124
FP,1570,2:01 AM,Slovak,innovate enterprise relationships,60799,29542
Laboratory,1814,4:24 AM,Keratin Treatment,generate 24/7 web-readiness,80624,35015
Public Health,1857,3:26 AM,SDSF,mesh viral metrics,77794,35396
RSA SecurID,2006,2:09 AM,Fragrance,reintermediate robust portals,92712,74854
Surgery,1836,4:10 AM,Test Automation,leverage customized vortals,66096,4354
JDA,1921,2:15 AM,IP Cameras,recontextualize enterprise infomediaries,89691,58520
Animation,1836,1:33 AM,RF Planning,brand revolutionary e-tailers,2815,74642
SRST,1650,1:09 AM,LTACH,drive plug-and-play models,48953,32770
Yelp,1533,1:46 AM,AJAX Frameworks,empower value-added paradigms,95545,4516
GUI,1791,4:00 AM,Fluid Dynamics,benchmark front-end e-business,24442,9044
